"Meter Number","Meter Name","Meter Date","Voltage 1","Current 1 (Amps 1)"
"10009540","Meter 9540","=""2018-12-12 12:41:26""","129.10","0"
"10009540","Meter 9540","=""2018-12-12 12:41:27""","129.10","0"
"10009540","Meter 9540","=""2018-12-12 12:41:28""","129.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:29""","128.90","0"
"10009540","Meter 9540","=""2018-12-12 12:41:30""","128.90","0"
"10009540","Meter 9540","=""2018-12-12 12:41:31""","129.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:32""","129.50","0"
"10009540","Meter 9540","=""2018-12-12 12:41:33""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:34""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:35""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:36""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:37""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:38""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:41:39""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:41:40""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:41:41""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:41:42""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:41:43""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:44""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:41:45""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:46""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:47""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:41:48""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:41:49""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:41:50""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:41:51""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:41:52""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:41:53""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:41:54""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:41:55""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:41:56""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:41:57""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:58""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:59""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:42:00""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:42:01""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:42:02""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:42:03""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:42:04""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:42:05""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:42:06""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:42:07""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:42:08""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:42:09""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:42:10""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:42:11""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:42:12""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:42:13""","130.30","0"
"10009540","Meter 9540","=""2018-12-12 12:42:14""","130.50","0"
"10009540","Meter 9540","=""2018-12-12 12:42:15""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:16""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:17""","130.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:18""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:42:19""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:42:20""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:42:21""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:42:22""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:42:23""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:42:24""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:42:25""","129.50","0"
"10009540","Meter 9540","=""2018-12-12 12:42:26""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:27""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:42:28""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:42:29""","129.50","0"
"10009540","Meter 9540","=""2018-12-12 12:42:30""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:42:31""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:42:32""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:42:33""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:42:34""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:35""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:42:36""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:42:37""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:38""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:39""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:40""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:41""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:42:42""","129.10","0"
"10009540","Meter 9540","=""2018-12-12 12:42:43""","128.90","0"
"10009540","Meter 9540","=""2018-12-12 12:42:44""","128.70","0"
"10009540","Meter 9540","=""2018-12-12 12:42:45""","128.70","0"
"10009540","Meter 9540","=""2018-12-12 12:42:46""","128.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:47""","128.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:48""","128.90","0"
"10009540","Meter 9540","=""2018-12-12 12:42:49""","128.90","0"
"10009540","Meter 9540","=""2018-12-12 12:42:50""","128.70","0"
"10009540","Meter 9540","=""2018-12-12 12:42:51""","128.80","0"
"10009540","Meter 9540","=""2018-12-12 12:42:52""","128.80","0"
"10009540","Meter 9540","=""2018-12-12 12:42:53""","128.80","0"
"10009540","Meter 9540","=""2018-12-12 12:42:54""","128.80","0"
"10009540","Meter 9540","=""2018-12-12 12:42:55""","128.60","0"
"10009540","Meter 9540","=""2018-12-12 12:42:56""","128.80","0"
"10009540","Meter 9540","=""2018-12-12 12:42:57""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:42:58""","129.10","0"
"10009540","Meter 9540","=""2018-12-12 12:42:59""","129.20","0"
"10009540","Meter 9540","=""2018-12-12 12:43:00""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:43:01""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:43:02""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:43:03""","129.20","0"
"10009540","Meter 9540","=""2018-12-12 12:43:04""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:43:05""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:43:06""","128.70","0"
"10009540","Meter 9540","=""2018-12-12 12:43:07""","128.50","0"
"10009540","Meter 9540","=""2018-12-12 12:43:08""","128.70","0"
"10009540","Meter 9540","=""2018-12-12 12:43:09""","129.20","0"
"10009540","Meter 9540","=""2018-12-12 12:43:10""","128.80","0"
"10009540","Meter 9540","=""2018-12-12 12:43:11""","128.50","0"
"10009540","Meter 9540","=""2018-12-12 12:43:12""","128.60","0"
"10009540","Meter 9540","=""2018-12-12 12:43:13""","127.90","0"
